Wavelength nm,Reflectance
303.5018831,0.919000071
313.7409439005026,0.914743852
320.7597369180973,0.910490662
330.1971405711019,0.90553293
339.22034227886104,0.900798854
348.2460689127594,0.894172229
356.3230162295987,0.886619614
364.42008041960696,0.879731269
373.7585997547199,0.873223509
381.07320171458616,0.870036236
391.5826951303118,0.867991674
400.4095606701526,0.868648247
409.30418990484293,0.871446637
417.4778255540648,0.875421501
426.1385790835446,0.880826038
434.7362431476853,0.886333774
443.1503173730116,0.890662012
451.18251482151624,0.894624513
461.16326046396455,0.899053405
469.1174561973318,0.902295684
477.1103318,0.90566382
483.6850344615924,0.907773528
493.1228474255055,0.910477466
501.07144924312337,0.911841217
512.7083858,0.913541173
521.1628983934794,0.914410906
530.4732750770233,0.91505069
545.4315341064363,0.915845495
555.5114865844478,0.916236691
565.7276319023126,0.916551855
574.0184079721002,0.916565597
585.5073210843738,0.915154239
590.3574127953336,0.914360764
600.9073256632723,0.912944863
611.5069432771814,0.911207156
617.8508416780755,0.910155156
629.5742792399733,0.907902921
637.9547056902948,0.906324801
645.5567787206389,0.90509323
655.8092589950769,0.901243397
664.6562868870765,0.89656792
670.2044583524611,0.893766091
680.4216751828893,0.888153221
689.5180209643743,0.883136787
698.1408146970077,0.878264868
708.5208484,0.872995052
717.3603153882009,0.868957352
724.8785950040294,0.865347252
733.7373564754056,0.861062888
742.4897467240187,0.857153919
751.5345642932173,0.852429304
758.2892541061425,0.848925177
769.0307520630015,0.84301041
777.0223748678297,0.838572848
785.3443603,0.833926549
792.7533775338012,0.829716517
798.6399680746124,0.826316812
